ID,Item,Category,Quantity,Unit,Specification,Definition,Reference
MNT-03,Bridge standoffs,Mounting,4,pcs,18 mm support height; proposed geometry.,Proposed part,
MNT-04,Servo clamp,Mounting,1,pcs,Slotted mount reserve for belt tension adjustment.,Proposed part,
MNT-05,Compute mounting kit,Mounting,1,set,"Cradle, four supports and two edge saddles; proposed assembly.",Proposed part,
MNT-06,Camera mounting kit,Mounting,1,set,Two edge cradles and a crossbar; proposed assembly.,Proposed part,
MNT-07,Display mounting kit,Mounting,1,set,Two edge carriers and four retaining clips; proposed assembly.,Proposed part,
MNT-08,Microphone retaining clips,Mounting,2,pcs,Proposed edge retention for the ReSpeaker board.,Proposed part,
MNT-09,Microphone acoustic ports,Mounting,4,set,"Each port has a duct, trim ring and mesh; sealing to be validated.",Proposed part,
MNT-10,Speaker gasket and mounts,Mounting,1,set,One sealing gasket and four mounting posts.,Proposed part,
MNT-11,Mounting screws,Mounting,12,pcs,4 proposed M2 compute screws + 4 display + 4 speaker screws. Lengths and final hardware pending.,To specify,
MNT-12,Harness strain relief,Mounting,1,pcs,Proposed retainer at the head cable entry.,Proposed part,
CTL-01,Mechanical key switches,Controls,6,pcs,14 mm switch reserves; switch model and wiring pending.,To specify,
CTL-02,Keycaps,Controls,6,pcs,Six keycaps with illustrative legends.,Proposed part,
CTL-03,Control lever,Controls,1,pcs,"Boot, metal shaft and ball; sensing mechanism not modeled.",To specify,
CTL-04,Voice button,Controls,1,pcs,Button envelope; switch and attachment to be specified.,To specify,
CTL-05,Physical mute switch,Controls,1,pcs,Mute control reserve; electrical circuit pending.,To specify,
CTL-06,Power switch,Controls,1,pcs,Power switch envelope; rating and wiring pending.,To specify,
CTL-07,Lighting and indicators,Controls,To specify,set,"Key RGB, base and LCD light guides, camera and agent indicators. Final LED count and driver pending.",To specify,
CON-01,Connection panel,Connections,1,pcs,Rear panel for power and service connections.,Proposed part,
CON-02,External connectors,Connections,1,set,"USB-C logic power, service USB-A and 6 V motor connector.",To specify,
CON-03,Camera CSI cable,Connections,1,pcs,15-to-22 pin FFC route; length and bend radius to be validated.,To specify,
CON-04,USB audio cable,Connections,1,pcs,Proposed internal USB route to the microphone array.,To specify,
CON-05,Speaker wire pair,Connections,1,set,Amplified audio routing reserve; termination pending.,To specify,
CON-06,Motor cable,Connections,1,pcs,Fixed motor wiring route; connector and length pending.,To specify,
CON-07,Flexible head harness,Connections,1,pcs,Power and control through the hollow spindle; ±180° flex life unvalidated.,To specify,
CON-08,External power supply,Connections,To specify,set,5 V logic and regulated 6 V motor power architecture; adapters and current budget still to be defined.,To specify,
CON-09,Remaining interconnects and fasteners,Connections,To specify,set,"HDMI, control wiring, inserts and final enclosure/joint fasteners are not fully modeled or specified.",To specify,
