ID,Item,Categoria,Quantidade,Unidade,Especificação,Definição,Referência
CTL-05,Chave física de mute,Controles,1,un.,Reserva de controle de mute; circuito elétrico pendente.,A definir,
CTL-06,Chave de energia,Controles,1,un.,Envelope da chave de energia; capacidade e ligação pendentes.,A definir,
CTL-07,Iluminação e indicadores,Controles,A definir,conjunto,"RGB das teclas, guias de luz da base e do LCD, indicadores de câmera e agente. Contagem final de LEDs e driver pendentes.",A definir,
CON-01,Painel de conexões,Conexões,1,un.,Painel traseiro para alimentação e conexões de serviço.,Peça proposta,
CON-02,Conectores externos,Conexões,1,conjunto,"USB-C para lógica, USB-A de serviço e conector do motor de 6 V.",A definir,
CON-03,Cabo CSI da câmera,Conexões,1,un.,Trajeto FFC de 15 para 22 pinos; comprimento e raio de curvatura a validar.,A definir,
CON-04,Cabo USB de áudio,Conexões,1,un.,Trajeto USB interno proposto até a matriz de microfones.,A definir,
CON-05,Par de fios do alto-falante,Conexões,1,conjunto,Reserva de trajeto de áudio amplificado; terminação pendente.,A definir,
CON-06,Cabo do motor,Conexões,1,un.,Trajeto fixo da fiação do motor; conector e comprimento pendentes.,A definir,
CON-07,Chicote flexível da cabeça,Conexões,1,un.,Alimentação e controle pelo eixo oco; vida em flexão de ±180° não validada.,A definir,
CON-08,Fonte de alimentação externa,Conexões,A definir,conjunto,Arquitetura de alimentação da lógica em 5 V e motor regulado em 6 V; adaptadores e orçamento de corrente a definir.,A definir,
CON-09,Interconexões e fixadores restantes,Conexões,A definir,conjunto,"HDMI, fiação de controle, insertos e fixadores finais da carcaça e articulação não estão totalmente modelados ou definidos.",A definir,
